query_id,user_id,benchmark_tier,query_type,method,rank,retrieved_event_id,score,is_high_memory_load
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,1,2018_1767907__event_002,0.7784110307693481,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,2,2018_1767947__event_002,0.7069268226623535,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,3,2018_1767893__event_002,0.6999854445457458,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,4,2018_1767963__event_002,0.6912018656730652,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,5,2018_1767945__event_002,0.6872435808181763,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,6,2018_1767921__event_002,0.6762504577636719,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,7,2018_1767895__event_002,0.6629312634468079,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,8,2018_1767885__event_002,0.6571060419082642,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,9,2018_1767935__event_002,0.6352739334106445,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,10,2018_1767926__event_002,0.6350828409194946,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,11,2018_1767902__event_002,0.6325150728225708,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,12,2018_1767879__event_002,0.6244189143180847,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,13,2018_1767863__event_002,0.6145111918449402,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,14,2018_1767934__event_002,0.6067994236946106,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,15,2018_1767913__event_002,0.6060612797737122,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,16,2018_1767925__event_002,0.600468635559082,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,17,2018_1767957__event_002,0.596811056137085,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,18,2018_1767887__event_002,0.5937884449958801,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,19,2018_1767867__event_002,0.5884039402008057,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,20,2018_1767903__event_002,0.5835679173469543,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,21,2018_1767914__event_002,0.5833065509796143,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,22,2018_1767945__event_001,0.5806528329849243,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,23,2018_1767953__event_002,0.5736488103866577,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,24,2018_1767907__event_003,0.5649555921554565,True
tokyo_100312_relational_between,100312,stress_test,relational_between,vector,25,2018_1767925__event_001,0.5647010803222656,True
