row_index,query_id,user_id,benchmark_tier,query_type,is_high_memory_load
0,tokyo_100312_relational_between,100312,stress_test,relational_between,True
1,tokyo_101467_relational_between,101467,stress_test,relational_between,False
2,tokyo_106628_relational_between,106628,stress_test,relational_between,True
3,tokyo_109617_relational_between,109617,stress_test,relational_between,True
4,tokyo_109621_relational_between,109621,stress_test,relational_between,True
5,tokyo_113499_relational_between,113499,stress_test,relational_between,False
6,tokyo_113897_relational_between,113897,stress_test,relational_between,False
7,tokyo_115855_relational_between,115855,stress_test,relational_between,False
8,tokyo_1172_relational_between,1172,stress_test,relational_between,True
9,tokyo_119597_relational_between,119597,stress_test,relational_between,False
10,tokyo_121554_relational_between,121554,stress_test,relational_between,False
11,tokyo_126183_relational_between,126183,stress_test,relational_between,True
12,tokyo_127201_relational_between,127201,stress_test,relational_between,False
13,tokyo_130084_relational_between,130084,stress_test,relational_between,True
14,tokyo_130568_relational_between,130568,stress_test,relational_between,False
15,tokyo_130777_relational_between,130777,stress_test,relational_between,False
16,tokyo_130872_relational_between,130872,stress_test,relational_between,False
17,tokyo_131525_relational_between,131525,stress_test,relational_between,False
18,tokyo_132723_relational_between,132723,stress_test,relational_between,True
19,tokyo_134307_relational_between,134307,stress_test,relational_between,False
20,tokyo_135393_relational_between,135393,stress_test,relational_between,False
21,tokyo_138301_relational_between,138301,stress_test,relational_between,False
22,tokyo_139656_relational_between,139656,stress_test,relational_between,True
23,tokyo_140775_relational_between,140775,stress_test,relational_between,False
24,tokyo_149225_relational_between,149225,stress_test,relational_between,False
25,tokyo_152722_relational_between,152722,stress_test,relational_between,False
26,tokyo_156873_relational_between,156873,stress_test,relational_between,True
27,tokyo_167728_relational_between,167728,stress_test,relational_between,True
28,tokyo_169053_relational_between,169053,stress_test,relational_between,False
29,tokyo_171659_relational_between,171659,stress_test,relational_between,False
30,tokyo_178798_relational_between,178798,stress_test,relational_between,False
31,tokyo_19379_relational_between,19379,stress_test,relational_between,True
32,tokyo_210254_relational_between,210254,stress_test,relational_between,False
33,tokyo_223807_relational_between,223807,stress_test,relational_between,False
34,tokyo_2309_relational_between,2309,stress_test,relational_between,False
35,tokyo_23925_relational_between,23925,stress_test,relational_between,False
36,tokyo_24664_relational_between,24664,stress_test,relational_between,True
37,tokyo_24765_relational_between,24765,stress_test,relational_between,True
38,tokyo_254908_relational_between,254908,stress_test,relational_between,False
39,tokyo_259163_relational_between,259163,stress_test,relational_between,False
40,tokyo_263152_relational_between,263152,stress_test,relational_between,False
41,tokyo_264627_relational_between,264627,stress_test,relational_between,True
42,tokyo_267704_relational_between,267704,stress_test,relational_between,False
43,tokyo_26786_relational_between,26786,stress_test,relational_between,True
44,tokyo_277915_relational_between,277915,stress_test,relational_between,False
45,tokyo_280210_relational_between,280210,stress_test,relational_between,True
46,tokyo_281448_relational_between,281448,stress_test,relational_between,False
47,tokyo_283450_relational_between,283450,stress_test,relational_between,True
48,tokyo_286142_relational_between,286142,stress_test,relational_between,False
49,tokyo_28664_relational_between,28664,stress_test,relational_between,True
50,tokyo_28697_relational_between,28697,stress_test,relational_between,False
51,tokyo_290806_relational_between,290806,stress_test,relational_between,False
52,tokyo_29501_relational_between,29501,stress_test,relational_between,False
53,tokyo_29757_relational_between,29757,stress_test,relational_between,False
54,tokyo_29764_relational_between,29764,stress_test,relational_between,False
55,tokyo_31204_relational_between,31204,stress_test,relational_between,False
56,tokyo_32545_relational_between,32545,stress_test,relational_between,True
57,tokyo_325605_relational_between,325605,stress_test,relational_between,True
58,tokyo_328941_relational_between,328941,stress_test,relational_between,False
59,tokyo_339444_relational_between,339444,stress_test,relational_between,False
60,tokyo_342180_relational_between,342180,stress_test,relational_between,True
