query_id,user_id,benchmark_tier,query_type,method,method_label,query_text,target_event_id,target_venue_id,target_name,target_rank,reciprocal_rank,success_at_1,success_at_5,is_high_memory_load
tokyo_100159_relational_after,100159,core,relational_after,flat,Flat BM25,Which Ramen Restaurant did I visit after 松屋?,2018_1765800__event_002,4092,五ノ神精肉店,1,1.0000000000,True,True,True
tokyo_100159_relational_after,100159,core,relational_after,vector,E5 Dense,Which Ramen Restaurant did I visit after 松屋?,2018_1765800__event_002,4092,五ノ神精肉店,3,0.3333333333,False,True,True
tokyo_100159_relational_after,100159,core,relational_after,graph,E5 Graph-1Hop-RRF,Which Ramen Restaurant did I visit after 松屋?,2018_1765800__event_002,4092,五ノ神精肉店,3,0.3333333333,False,True,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,E5 Graph-PPR-RRF,Which Ramen Restaurant did I visit after 松屋?,2018_1765800__event_002,4092,五ノ神精肉店,4,0.2500000000,False,True,True
tokyo_100159_semantic,100159,core,semantic,flat,Flat BM25,Which Sushi Restaurant did I visit in Fussa?,2018_1765805__event_002,729,スシロー,1,1.0000000000,True,True,True
tokyo_100159_semantic,100159,core,semantic,vector,E5 Dense,Which Sushi Restaurant did I visit in Fussa?,2018_1765805__event_002,729,スシロー,1,1.0000000000,True,True,True
tokyo_100159_semantic,100159,core,semantic,graph,E5 Graph-1Hop-RRF,Which Sushi Restaurant did I visit in Fussa?,2018_1765805__event_002,729,スシロー,1,1.0000000000,True,True,True
tokyo_100159_semantic,100159,core,semantic,graph_ppr_rrf,E5 Graph-PPR-RRF,Which Sushi Restaurant did I visit in Fussa?,2018_1765805__event_002,729,スシロー,1,1.0000000000,True,True,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,flat,Flat BM25,Which Supermarket did I visit in Fussa in November 2017?,2018_1765792__event_002,236,福島屋 本店,1,1.0000000000,True,True,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,vector,E5 Dense,Which Supermarket did I visit in Fussa in November 2017?,2018_1765792__event_002,236,福島屋 本店,1,1.0000000000,True,True,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,graph,E5 Graph-1Hop-RRF,Which Supermarket did I visit in Fussa in November 2017?,2018_1765792__event_002,236,福島屋 本店,1,1.0000000000,True,True,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,graph_ppr_rrf,E5 Graph-PPR-RRF,Which Supermarket did I visit in Fussa in November 2017?,2018_1765792__event_002,236,福島屋 本店,1,1.0000000000,True,True,True
tokyo_100312_relational_after,100312,core,relational_after,flat,Flat BM25,Which Clothing Store did I visit after イオンモールむさし村山?,2018_1767876__event_002,906,ユニクロ,1,1.0000000000,True,True,True
tokyo_100312_relational_after,100312,core,relational_after,vector,E5 Dense,Which Clothing Store did I visit after イオンモールむさし村山?,2018_1767876__event_002,906,ユニクロ,23,0.0434782609,False,False,True
tokyo_100312_relational_after,100312,core,relational_after,graph,E5 Graph-1Hop-RRF,Which Clothing Store did I visit after イオンモールむさし村山?,2018_1767876__event_002,906,ユニクロ,6,0.1666666667,False,False,True
tokyo_100312_relational_after,100312,core,relational_after,graph_ppr_rrf,E5 Graph-PPR-RRF,Which Clothing Store did I visit after イオンモールむさし村山?,2018_1767876__event_002,906,ユニクロ,9,0.1111111111,False,False,True
tokyo_100312_semantic,100312,core,semantic,flat,Flat BM25,Which Café did I visit in Fussa?,2018_1767925__event_002,1836,サンマルクカフェ,1,1.0000000000,True,True,True
tokyo_100312_semantic,100312,core,semantic,vector,E5 Dense,Which Café did I visit in Fussa?,2018_1767925__event_002,1836,サンマルクカフェ,1,1.0000000000,True,True,True
tokyo_100312_semantic,100312,core,semantic,graph,E5 Graph-1Hop-RRF,Which Café did I visit in Fussa?,2018_1767925__event_002,1836,サンマルクカフェ,1,1.0000000000,True,True,True
tokyo_100312_semantic,100312,core,semantic,graph_ppr_rrf,E5 Graph-PPR-RRF,Which Café did I visit in Fussa?,2018_1767925__event_002,1836,サンマルクカフェ,1,1.0000000000,True,True,True
tokyo_100312_temporal_spatial,100312,core,temporal_spatial,flat,Flat BM25,Which Buffet did I visit in Fussa in September 2018?,2018_1767957__event_002,1376,グランブッフェ,1,1.0000000000,True,True,True
tokyo_100312_temporal_spatial,100312,core,temporal_spatial,vector,E5 Dense,Which Buffet did I visit in Fussa in September 2018?,2018_1767957__event_002,1376,グランブッフェ,1,1.0000000000,True,True,True
tokyo_100312_temporal_spatial,100312,core,temporal_spatial,graph,E5 Graph-1Hop-RRF,Which Buffet did I visit in Fussa in September 2018?,2018_1767957__event_002,1376,グランブッフェ,1,1.0000000000,True,True,True
tokyo_100312_temporal_spatial,100312,core,temporal_spatial,graph_ppr_rrf,E5 Graph-PPR-RRF,Which Buffet did I visit in Fussa in September 2018?,2018_1767957__event_002,1376,グランブッフェ,1,1.0000000000,True,True,True
tokyo_100677_relational_after,100677,core,relational_after,flat,Flat BM25,Which Sake Bar did I visit after 金太郎 西八王子北口店?,2018_1773210__event_002,2822,NEWZ BAL,1,1.0000000000,True,True,False
tokyo_100677_relational_after,100677,core,relational_after,vector,E5 Dense,Which Sake Bar did I visit after 金太郎 西八王子北口店?,2018_1773210__event_002,2822,NEWZ BAL,2,0.5000000000,False,True,False
tokyo_100677_relational_after,100677,core,relational_after,graph,E5 Graph-1Hop-RRF,Which Sake Bar did I visit after 金太郎 西八王子北口店?,2018_1773210__event_002,2822,NEWZ BAL,2,0.5000000000,False,True,False
tokyo_100677_relational_after,100677,core,relational_after,graph_ppr_rrf,E5 Graph-PPR-RRF,Which Sake Bar did I visit after 金太郎 西八王子北口店?,2018_1773210__event_002,2822,NEWZ BAL,1,1.0000000000,True,True,False
tokyo_100677_semantic,100677,core,semantic,flat,Flat BM25,Which Chinese Restaurant did I visit in Hachiōji?,2018_1773217__event_002,4364,餃子の王将,1,1.0000000000,True,True,False
tokyo_100677_semantic,100677,core,semantic,vector,E5 Dense,Which Chinese Restaurant did I visit in Hachiōji?,2018_1773217__event_002,4364,餃子の王将,1,1.0000000000,True,True,False
tokyo_100677_semantic,100677,core,semantic,graph,E5 Graph-1Hop-RRF,Which Chinese Restaurant did I visit in Hachiōji?,2018_1773217__event_002,4364,餃子の王将,1,1.0000000000,True,True,False
tokyo_100677_semantic,100677,core,semantic,graph_ppr_rrf,E5 Graph-PPR-RRF,Which Chinese Restaurant did I visit in Hachiōji?,2018_1773217__event_002,4364,餃子の王将,2,0.5000000000,False,True,False
tokyo_100677_temporal_spatial,100677,core,temporal_spatial,flat,Flat BM25,Which Bar did I visit in Hachiōji in July 2018?,2018_1773220__event_002,1418,D.O.T.,1,1.0000000000,True,True,False
tokyo_100677_temporal_spatial,100677,core,temporal_spatial,vector,E5 Dense,Which Bar did I visit in Hachiōji in July 2018?,2018_1773220__event_002,1418,D.O.T.,2,0.5000000000,False,True,False
tokyo_100677_temporal_spatial,100677,core,temporal_spatial,graph,E5 Graph-1Hop-RRF,Which Bar did I visit in Hachiōji in July 2018?,2018_1773220__event_002,1418,D.O.T.,2,0.5000000000,False,True,False
tokyo_100677_temporal_spatial,100677,core,temporal_spatial,graph_ppr_rrf,E5 Graph-PPR-RRF,Which Bar did I visit in Hachiōji in July 2018?,2018_1773220__event_002,1418,D.O.T.,1,1.0000000000,True,True,False
tokyo_101467_relational_after,101467,core,relational_after,flat,Flat BM25,Which Convenience Store did I visit after 片倉駅 (Katakura Sta.)?,2018_1784994__event_004,2016,ローソン 八王子打越町店,2,0.5000000000,False,True,False
tokyo_101467_relational_after,101467,core,relational_after,vector,E5 Dense,Which Convenience Store did I visit after 片倉駅 (Katakura Sta.)?,2018_1784994__event_004,2016,ローソン 八王子打越町店,3,0.3333333333,False,True,False
tokyo_101467_relational_after,101467,core,relational_after,graph,E5 Graph-1Hop-RRF,Which Convenience Store did I visit after 片倉駅 (Katakura Sta.)?,2018_1784994__event_004,2016,ローソン 八王子打越町店,3,0.3333333333,False,True,False
tokyo_101467_relational_after,101467,core,relational_after,graph_ppr_rrf,E5 Graph-PPR-RRF,Which Convenience Store did I visit after 片倉駅 (Katakura Sta.)?,2018_1784994__event_004,2016,ローソン 八王子打越町店,3,0.3333333333,False,True,False
tokyo_101467_semantic,101467,core,semantic,flat,Flat BM25,Which BBQ Joint did I visit in Hachiōji?,2018_1784986__event_002,4179,牛匠 炭火 八王子店,1,1.0000000000,True,True,False
tokyo_101467_semantic,101467,core,semantic,vector,E5 Dense,Which BBQ Joint did I visit in Hachiōji?,2018_1784986__event_002,4179,牛匠 炭火 八王子店,1,1.0000000000,True,True,False
tokyo_101467_semantic,101467,core,semantic,graph,E5 Graph-1Hop-RRF,Which BBQ Joint did I visit in Hachiōji?,2018_1784986__event_002,4179,牛匠 炭火 八王子店,1,1.0000000000,True,True,False
tokyo_101467_semantic,101467,core,semantic,graph_ppr_rrf,E5 Graph-PPR-RRF,Which BBQ Joint did I visit in Hachiōji?,2018_1784986__event_002,4179,牛匠 炭火 八王子店,1,1.0000000000,True,True,False
tokyo_101467_temporal_spatial,101467,core,temporal_spatial,flat,Flat BM25,Which Sake Bar did I visit in Hachiōji in February 2018?,2018_1785004__event_001,4203,大衆酒場センベロ 八王子本店,1,1.0000000000,True,True,False
tokyo_101467_temporal_spatial,101467,core,temporal_spatial,vector,E5 Dense,Which Sake Bar did I visit in Hachiōji in February 2018?,2018_1785004__event_001,4203,大衆酒場センベロ 八王子本店,2,0.5000000000,False,True,False
tokyo_101467_temporal_spatial,101467,core,temporal_spatial,graph,E5 Graph-1Hop-RRF,Which Sake Bar did I visit in Hachiōji in February 2018?,2018_1785004__event_001,4203,大衆酒場センベロ 八王子本店,2,0.5000000000,False,True,False
tokyo_101467_temporal_spatial,101467,core,temporal_spatial,graph_ppr_rrf,E5 Graph-PPR-RRF,Which Sake Bar did I visit in Hachiōji in February 2018?,2018_1785004__event_001,4203,大衆酒場センベロ 八王子本店,3,0.3333333333,False,True,False
tokyo_103621_relational_after,103621,core,relational_after,flat,Flat BM25,Which Bar did I visit after 中華そば 青葉?,2018_1816122__event_002,3152,アニソンDJバー グリュック,1,1.0000000000,True,True,False
tokyo_103621_relational_after,103621,core,relational_after,vector,E5 Dense,Which Bar did I visit after 中華そば 青葉?,2018_1816122__event_002,3152,アニソンDJバー グリュック,2,0.5000000000,False,True,False
tokyo_103621_relational_after,103621,core,relational_after,graph,E5 Graph-1Hop-RRF,Which Bar did I visit after 中華そば 青葉?,2018_1816122__event_002,3152,アニソンDJバー グリュック,2,0.5000000000,False,True,False
tokyo_103621_relational_after,103621,core,relational_after,graph_ppr_rrf,E5 Graph-PPR-RRF,Which Bar did I visit after 中華そば 青葉?,2018_1816122__event_002,3152,アニソンDJバー グリュック,3,0.3333333333,False,True,False
tokyo_103621_semantic,103621,core,semantic,flat,Flat BM25,Which Sake Bar did I visit in Hachiōji?,2018_1816137__event_002,4436,立呑み晩杯屋 八王子店,1,1.0000000000,True,True,False
tokyo_103621_semantic,103621,core,semantic,vector,E5 Dense,Which Sake Bar did I visit in Hachiōji?,2018_1816137__event_002,4436,立呑み晩杯屋 八王子店,1,1.0000000000,True,True,False
tokyo_103621_semantic,103621,core,semantic,graph,E5 Graph-1Hop-RRF,Which Sake Bar did I visit in Hachiōji?,2018_1816137__event_002,4436,立呑み晩杯屋 八王子店,1,1.0000000000,True,True,False
tokyo_103621_semantic,103621,core,semantic,graph_ppr_rrf,E5 Graph-PPR-RRF,Which Sake Bar did I visit in Hachiōji?,2018_1816137__event_002,4436,立呑み晩杯屋 八王子店,1,1.0000000000,True,True,False
